"","CSN","STATE","NAME","GEO_ID","LocalTax","MedianIncome","Area_Code","St","Cnty","St_Name","Annual_Average_Establishment_Count","Annual_Average_Employment","Annual_Total_Wages","Annual_Average_Weekly_Wage","Annual_Average_Pay","Total_Wage_Location_Quotient_Relative_to_US","Employment_Location_Quotient_Relative_to_US","LAUS Code","State FIPS Code","County FIPS Code","STATE_GEO_ID","Year","Labor Force","Employed","Unemployed","Unemployment Rate","StateTax","StateMeanLocalTax","StateCombinedMeanTax","Geo Id","Ton-miles (millions)","Coefficient of variation for Ton-miles","Tons (thousands)","Tons (percent change)","Standard error for Tons (percent change)","Coefficient of variation for Tons","Value ($ million)","Value (percent change)","Standard error for Value (percent change)","Coefficient of variation for Value","2007 Tons (thousands)","2007 Coefficient of variation for Tons","2007 Value ($ million)","2007 Coefficient of variation for Value"
"14","Clay County Alabama","Alabama","Clay County","0500000US01027",4.957,NA,"01027","01","027","Alabama",216,4275,146492328,659,34271,101,101,"CN0102700000000","01","027","Clay County, AL","2019",6101,5918,183,3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"15","Cleburne County Alabama","Alabama","Cleburne County","0500000US01029",4.652,NA,"01029","01","029","Alabama",222,2124,93787862,849,44167,101,101,"CN0102900000000","01","029","Cleburne County, AL","2019",5806,5623,183,3.2,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"16","Coffee County Alabama","Alabama","Coffee County","0500000US01031",5.025,NA,"01031","01","031","Alabama",1075,15881,550362545,666,34655,101,101,"CN0103100000000","01","031","Coffee County, AL","2019",21402,20779,623,2.9,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"17","Colbert County Alabama","Alabama","Colbert County","0500000US01033",5.035,NA,"01033","01","033","Alabama",1308,23830,1058282175,854,44410,101,101,"CN0103300000000","01","033","Colbert County, AL","2019",23646,22761,885,3.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"18","Conecuh County Alabama","Alabama","Conecuh County","0500000US01035",4.952,NA,"01035","01","035","Alabama",256,3475,124572447,689,35846,101,101,"CN0103500000000","01","035","Conecuh County, AL","2019",4533,4353,180,4,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"19","Coosa County Alabama","Alabama","Coosa County","0500000US01037",4.957,NA,"01037","01","037","Alabama",121,1406,52021182,712,36999,101,101,"CN0103700000000","01","037","Coosa County, AL","2019",4549,4414,135,3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"20","Covington County Alabama","Alabama","Covington County","0500000US01039",4.962,NA,"01039","01","039","Alabama",894,12373,449925771,699,36363,101,101,"CN0103900000000","01","039","Covington County, AL","2019",15653,15119,534,3.4,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"21","Crenshaw County Alabama","Alabama","Crenshaw County","0500000US01041",4.876,NA,"01041","01","041","Alabama",258,3685,135526454,707,36774,101,101,"CN0104100000000","01","041","Crenshaw County, AL","2019",6476,6293,183,2.8,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"22","Cullman County Alabama","Alabama","Cullman County","0500000US01043",5.109,"23615","01043","01","043","Alabama",1847,28849,1113906436,743,38612,101,101,"CN0104300000000","01","043","Cullman County, AL","2019",38646,37648,998,2.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"23","Dale County Alabama","Alabama","Dale County","0500000US01045",5.008,NA,"01045","01","045","Alabama",868,16978,912765700,1034,53763,101,101,"CN0104500000000","01","045","Dale County, AL","2019",20724,20082,642,3.1,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"24","Dallas County Alabama","Alabama","Dallas County","0500000US01047",4.998,NA,"01047","01","047","Alabama",847,12460,469775120,725,37704,101,101,"CN0104700000000","01","047","Dallas County, AL","2019",14711,13904,807,5.5,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"25","DeKalb County Alabama","Alabama","DeKalb County","0500000US01049",4.709,"22130","01049","01","049","Alabama",1194,21797,814862236,719,37384,101,101,"CN0104900000000","01","049","DeKalb County, AL","2019",31052,30182,870,2.8,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"26","Elmore County Alabama","Alabama","Elmore County","0500000US01051",5.175,"27093","01051","01","051","Alabama",1391,19848,699378204,678,35236,101,101,"CN0105100000000","01","051","Elmore County, AL","2019",37565,36586,979,2.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"27","Escambia County Alabama","Alabama","Escambia County","0500000US01053",4.689,NA,"01053","01","053","Alabama",847,12774,505214781,761,39550,101,101,"CN0105300000000","01","053","Escambia County, AL","2019",14762,14248,514,3.5,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"28","Etowah County Alabama","Alabama","Etowah County","0500000US01055",4.912,"25055","01055","01","055","Alabama",2091,36276,1327792322,704,36602,101,101,"CN0105500000000","01","055","Etowah County, AL","2019",42723,41295,1428,3.3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"29","Fayette County Alabama","Alabama","Fayette County","0500000US01057",4.883,NA,"01057","01","057","Alabama",348,4020,133728620,640,33264,101,101,"CN0105700000000","01","057","Fayette County, AL","2019",6579,6372,207,3.1,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"30","Franklin County Alabama","Alabama","Franklin County","0500000US01059",5.089,NA,"01059","01","059","Alabama",588,10811,395538239,704,36588,101,101,"CN0105900000000","01","059","Franklin County, AL","2019",14696,14291,405,2.8,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"31","Geneva County Alabama","Alabama","Geneva County","0500000US01061",4.871,NA,"01061","01","061","Alabama",497,5012,165878848,636,33095,101,101,"CN0106100000000","01","061","Geneva County, AL","2019",11045,10725,320,2.9,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"32","Greene County Alabama","Alabama","Greene County","0500000US01063",5.335,NA,"01063","01","063","Alabama",164,1770,61111024,664,34533,101,101,"CN0106300000000","01","063","Greene County, AL","2019",2883,2722,161,5.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"33","Hale County Alabama","Alabama","Hale County","0500000US01065",4.932,NA,"01065","01","065","Alabama",284,2732,101465908,714,37135,101,101,"CN0106500000000","01","065","Hale County, AL","2019",6119,5878,241,3.9,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"34","Henry County Alabama","Alabama","Henry County","0500000US01067",4.969,NA,"01067","01","067","Alabama",341,3339,140108052,807,41960,101,101,"CN0106700000000","01","067","Henry County, AL","2019",6944,6697,247,3.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"35","Houston County Alabama","Alabama","Houston County","0500000US01069",4.63,"24821","01069","01","069","Alabama",2969,48045,2052657589,822,42724,101,101,"CN0106900000000","01","069","Houston County, AL","2019",46234,44844,1390,3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"36","Jackson County Alabama","Alabama","Jackson County","0500000US01071",5.087,NA,"01071","01","071","Alabama",991,15893,574955032,696,36177,101,101,"CN0107100000000","01","071","Jackson County, AL","2019",23484,22712,772,3.3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"37","Jefferson County Alabama","Alabama","Jefferson County","0500000US01073",4.77,"29904","01073","01","073","Alabama",18903,349955,19684546312,1082,56249,101,101,"CN0107300000000","01","073","Jefferson County, AL","2019",318755,309664,9091,2.9,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"38","Lamar County Alabama","Alabama","Lamar County","0500000US01075",5.038,NA,"01075","01","075","Alabama",285,3457,138466992,770,40053,101,101,"CN0107500000000","01","075","Lamar County, AL","2019",5849,5670,179,3.1,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"39","Lauderdale County Alabama","Alabama","Lauderdale County","0500000US01077",4.701,"26988","01077","01","077","Alabama",2111,29738,1041517007,674,35023,101,101,"CN0107700000000","01","077","Lauderdale County, AL","2019",42548,41160,1388,3.3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"40","Lawrence County Alabama","Alabama","Lawrence County","0500000US01079",4.883,NA,"01079","01","079","Alabama",459,4901,171425059,673,34975,101,101,"CN0107900000000","01","079","Lawrence County, AL","2019",14306,13859,447,3.1,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"41","Lee County Alabama","Alabama","Lee County","0500000US01081",4.461,"25572","01081","01","081","Alabama",3204,58997,2326138263,758,39428,101,101,"CN0108100000000","01","081","Lee County, AL","2019",76580,74500,2080,2.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"42","Limestone County Alabama","Alabama","Limestone County","0500000US01083",5.101,"27374","01083","01","083","Alabama",1457,23979,1192798538,957,49745,101,101,"CN0108300000000","01","083","Limestone County, AL","2019",43854,42700,1154,2.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"43","Lowndes County Alabama","Alabama","Lowndes County","0500000US01085",4.787,NA,"01085","01","085","Alabama",172,2354,106650068,871,45307,101,101,"CN0108500000000","01","085","Lowndes County, AL","2019",3587,3383,204,5.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"44","Macon County Alabama","Alabama","Macon County","0500000US01087",4.952,NA,"01087","01","087","Alabama",235,4750,202457469,820,42626,101,101,"CN0108700000000","01","087","Macon County, AL","2019",7850,7513,337,4.3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"45","Madison County Alabama","Alabama","Madison County","0500000US01089",4.949,"31970","01089","01","089","Alabama",9747,200339,11904377440,1143,59421,101,101,"CN0108900000000","01","089","Madison County, AL","2019",185219,180505,4714,2.5,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"46","Marengo County Alabama","Alabama","Marengo County","0500000US01091",4.581,NA,"01091","01","091","Alabama",525,7084,285620103,775,40319,101,101,"CN0109100000000","01","091","Marengo County, AL","2019",7694,7423,271,3.5,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"47","Marion County Alabama","Alabama","Marion County","0500000US01093",5.295,NA,"01093","01","093","Alabama",628,9990,358818331,691,35918,101,101,"CN0109300000000","01","093","Marion County, AL","2019",12932,12486,446,3.4,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"48","Marshall County Alabama","Alabama","Marshall County","0500000US01095",4.692,"24012","01095","01","095","Alabama",2100,37023,1350422606,701,36476,101,101,"CN0109500000000","01","095","Marshall County, AL","2019",44085,42999,1086,2.5,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"49","Mobile County Alabama","Alabama","Mobile County","0500000US01097",5.013,"25256","01097","01","097","Alabama",10237,171077,8133175351,914,47541,101,101,"CN0109700000000","01","097","Mobile County, AL","2019",189107,182083,7024,3.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"50","Monroe County Alabama","Alabama","Monroe County","0500000US01099",5.008,NA,"01099","01","099","Alabama",445,6126,263566979,827,43025,101,101,"CN0109900000000","01","099","Monroe County, AL","2019",7329,6973,356,4.9,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"51","Montgomery County Alabama","Alabama","Montgomery County","0500000US01101",5.047,"25172","01101","01","101","Alabama",6406,131023,6019827067,884,45945,101,101,"CN0110100000000","01","101","Montgomery County, AL","2019",105777,102517,3260,3.1,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"52","Morgan County Alabama","Alabama","Morgan County","0500000US01103",4.731,"27866","01103","01","103","Alabama",2776,48357,2187945245,870,45245,101,101,"CN0110300000000","01","103","Morgan County, AL","2019",58271,56771,1500,2.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"53","Perry County Alabama","Alabama","Perry County","0500000US01105",4.647,NA,"01105","01","105","Alabama",155,2121,66540026,603,31378,101,101,"CN0110500000000","01","105","Perry County, AL","2019",3413,3235,178,5.2,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"54","Pickens County Alabama","Alabama","Pickens County","0500000US01107",4.883,NA,"01107","01","107","Alabama",339,3814,147524602,744,38676,101,101,"CN0110700000000","01","107","Pickens County, AL","2019",7923,7647,276,3.5,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"55","Pike County Alabama","Alabama","Pike County","0500000US01109",4.949,NA,"01109","01","109","Alabama",715,14255,567703976,766,39826,101,101,"CN0110900000000","01","109","Pike County, AL","2019",15428,14924,504,3.3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"56","Randolph County Alabama","Alabama","Randolph County","0500000US01111",5.21,NA,"01111","01","111","Alabama",399,4824,162032086,646,33590,101,101,"CN0111100000000","01","111","Randolph County, AL","2019",9639,9347,292,3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"57","Russell County Alabama","Alabama","Russell County","0500000US01113",4.863,NA,"01113","01","113","Alabama",918,14063,530552176,726,37727,101,101,"CN0111300000000","01","113","Russell County, AL","2019",23896,23198,698,2.9,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"58","St. Clair County Alabama","Alabama","St. Clair County","0500000US01115",4.831,"27129","01115","01","115","Alabama",1517,19780,749856886,729,37910,101,101,"CN0111500000000","01","115","St. Clair County, AL","2019",40532,39441,1091,2.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"59","Shelby County Alabama","Alabama","Shelby County","0500000US01117",4.927,"36244","01117","01","117","Alabama",5857,85040,4597142603,1040,54059,101,101,"CN0111700000000","01","117","Shelby County, AL","2019",115939,113414,2525,2.2,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"60","Sumter County Alabama","Alabama","Sumter County","0500000US01119",4.834,NA,"01119","01","119","Alabama",240,2919,114345513,753,39177,101,101,"CN0111900000000","01","119","Sumter County, AL","2019",4854,4635,219,4.5,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"61","Talladega County Alabama","Alabama","Talladega County","0500000US01121",5.023,"21226","01121","01","121","Alabama",1393,29683,1364068519,884,45955,101,101,"CN0112100000000","01","121","Talladega County, AL","2019",35769,34556,1213,3.4,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"62","Tallapoosa County Alabama","Alabama","Tallapoosa County","0500000US01123",4.984,NA,"01123","01","123","Alabama",847,12961,445656885,661,34385,101,101,"CN0112300000000","01","123","Tallapoosa County, AL","2019",18652,18096,556,3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"63","Tuscaloosa County Alabama","Alabama","Tuscaloosa County","0500000US01125",4.814,"25536","01125","01","125","Alabama",4596,94506,4319122007,879,45702,101,101,"CN0112500000000","01","125","Tuscaloosa County, AL","2019",104964,102122,2842,2.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"64","Walker County Alabama","Alabama","Walker County","0500000US01127",4.765,"23874","01127","01","127","Alabama",1393,18311,706407612,742,38579,101,101,"CN0112700000000","01","127","Walker County, AL","2019",25347,24517,830,3.3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"65","Washington County Alabama","Alabama","Washington County","0500000US01129",4.804,NA,"01129","01","129","Alabama",263,3585,225589628,1210,62929,101,101,"CN0112900000000","01","129","Washington County, AL","2019",6800,6487,313,4.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"66","Wilcox County Alabama","Alabama","Wilcox County","0500000US01131",4.618,NA,"01131","01","131","Alabama",242,2815,124781045,853,44331,101,101,"CN0113100000000","01","131","Wilcox County, AL","2019",2739,2544,195,7.1,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"67","Winston County Alabama","Alabama","Winston County","0500000US01133",5.03,NA,"01133","01","133","Alabama",492,7878,291534885,712,37007,101,101,"CN0113300000000","01","133","Winston County, AL","2019",10041,9705,336,3.3,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"68","Aleutians East Borough Alaska","Alaska","Aleutians East Borough","0500000US02013",1.771,NA,"02013","02","013","Alaska",100,2183,124760837,1099,57151,101,101,"CN0201300000000","02","013","Aleutians East Borough, AK","2019",2428,2360,68,2.8,0,1.76,1.76,"0400000US02",1224,31.1,5255,36.4,81.1,44.8,3246,10.2,40.6,28.3,3851,39.1,2947,23.6
"69","Aleutians West Census Area Alaska","Alaska","Aleutians West Census Area","0500000US02016",1.691,NA,"02016","02","016","Alaska",169,3328,205641722,1188,61793,101,101,"CN0201600000000","02","016","Aleutians West Census Area, AK","2019",3606,3477,129,3.6,0,1.76,1.76,"0400000US02",1224,31.1,5255,36.4,81.1,44.8,3246,10.2,40.6,28.3,3851,39.1,2947,23.6
"70","Anchorage Municipality Alaska","Alaska","Anchorage Municipality","0500000US02020",1.82,"36966","02020","02","020","Alaska",8199,148160,8655299737,1123,58419,101,101,"CN0202000000000","02","020","Anchorage Borough/municipality, AK","2019",146949,139526,7423,5.1,0,1.76,1.76,"0400000US02",1224,31.1,5255,36.4,81.1,44.8,3246,10.2,40.6,28.3,3851,39.1,2947,23.6
"71","Bethel Census Area Alaska","Alaska","Bethel Census Area","0500000US02050",1.753,NA,"02050","02","050","Alaska",343,6967,304654019,841,43728,101,101,"CN0205000000000","02","050","Bethel Census Area, AK","2019",7025,6120,905,12.9,0,1.76,1.76,"0400000US02",1224,31.1,5255,36.4,81.1,44.8,3246,10.2,40.6,28.3,3851,39.1,2947,23.6
"72","Dillingham Census Area Alaska","Alaska","Dillingham Census Area","0500000US02070",1.72,NA,"02070","02","070","Alaska",158,2561,118624766,891,46326,101,101,"CN0207000000000","02","070","Dillingham Census Area, AK","2019",1938,1781,157,8.1,0,1.76,1.76,"0400000US02",1224,31.1,5255,36.4,81.1,44.8,3246,10.2,40.6,28.3,3851,39.1,2947,23.6
"73","Fairbanks North Star Borough Alaska","Alaska","Fairbanks North Star Borough","0500000US02090",1.708,"35294","02090","02","090","Alaska",2275,36722,1950164598,1021,53107,101,101,"CN0209000000000","02","090","Fairbanks North Star Borough, AK","2019",44652,42248,2404,5.4,0,1.76,1.76,"0400000US02",1224,31.1,5255,36.4,81.1,44.8,3246,10.2,40.6,28.3,3851,39.1,2947,23.6
"74","Haines Borough Alaska","Alaska","Haines Borough","0500000US02100",1.8,NA,"02100","02","100","Alaska",157,996,41495429,801,41662,101,101,"CN0210000000000","02","100","Haines Borough, AK","2019",1111,1012,99,8.9,0,1.76,1.76,"0400000US02",1224,31.1,5255,36.4,81.1,44.8,3246,10.2,40.6,28.3,3851,39.1,2947,23.6
